product,product_information,price,price_ordinary,customer_discount_percentage,customer_offer_valid_from,customer_offer_valid_to,member_offer,member_offer_available_from,member_offer_available_to,product_link,member_price,member_price_valid_from,member_price_valid_to,produkter_kategorier,links
Hårstrikk,6 stk,3.0,,,,,,,,https://www.europris.no/p-harstrikk-6-stk-187800,,,,personlig-pleie,"[{'rel': 'self', 'href': 'https://g98a3adf2c98659-weather.adb.eu-stockholm-1.oraclecloudapps.com/ords/admin/products_2024_05_03/AAAabtAAAAAAFc7AAA'}]"
Hårstrikk,"m/metallring, gullfarget",3.0,,,,,,,,https://www.europris.no/p-harstrikk-m-metallring-gullfarget-188626,,,,personlig-pleie,"[{'rel': 'self', 'href': 'https://g98a3adf2c98659-weather.adb.eu-stockholm-1.oraclecloudapps.com/ords/admin/products_2024_05_03/AAAabtAAAAAAFc7AAB'}]"
Hårstrikk,"m/metallring, sølvfarget",3.0,,,,,,,,https://www.europris.no/p-harstrikk-m-metallring-solvfarget-188625,,,,personlig-pleie,"[{'rel': 'self', 'href': 'https://g98a3adf2c98659-weather.adb.eu-stockholm-1.oraclecloudapps.com/ords/admin/products_2024_05_03/AAAabtAAAAAAFc7AAC'}]"
Øyeskyggekost,6-pk,3.0,,,,,,,,https://www.europris.no/p-oyeskyggekost-6-pk-187787,,,,personlig-pleie,"[{'rel': 'self', 'href': 'https://g98a3adf2c98659-weather.adb.eu-stockholm-1.oraclecloudapps.com/ords/admin/products_2024_05_03/AAAabtAAAAAAFc7AAD'}]"
Badeball,11 g Brynild,5.0,,,,,,,,https://www.europris.no/p-badeball-11-g-brynild-172341,,,,dagligvarer,"[{'rel': 'self', 'href': 'https://g98a3adf2c98659-weather.adb.eu-stockholm-1.oraclecloudapps.com/ords/admin/products_2024_05_03/AAAabtAAAAAAFc7AAE'}]"
Blåbærkiss,11 g Brynild,5.0,,,,,,,,https://www.europris.no/p-blabaerkiss-11-g-brynild-172342,,,,dagligvarer,"[{'rel': 'self', 'href': 'https://g98a3adf2c98659-weather.adb.eu-stockholm-1.oraclecloudapps.com/ords/admin/products_2024_05_03/AAAabtAAAAAAFc7AAF'}]"
Fruxo pastill,20 g Malaco,5.0,,,,,,,,https://www.europris.no/p-fruxo-pastill-20-g-malaco-213055,,,,dagligvarer,"[{'rel': 'self', 'href': 'https://g98a3adf2c98659-weather.adb.eu-stockholm-1.oraclecloudapps.com/ords/admin/products_2024_05_03/AAAabtAAAAAAFc7AAG'}]"
Pim-pim pastill,20 g Malaco,5.0,,,,,,,,https://www.europris.no/p-pim-pim-pastill-20-g-malaco-213054,,,,dagligvarer,"[{'rel': 'self', 'href': 'https://g98a3adf2c98659-weather.adb.eu-stockholm-1.oraclecloudapps.com/ords/admin/products_2024_05_03/AAAabtAAAAAAFc7AAH'}]"
Hånddesinfeksjon,100 ml,5.0,,,,,,,,https://www.europris.no/p-handdesinfeksjon-100-ml-198099,,,,personlig-pleie,"[{'rel': 'self', 'href': 'https://g98a3adf2c98659-weather.adb.eu-stockholm-1.oraclecloudapps.com/ords/admin/products_2024_05_03/AAAabtAAAAAAFc7AAI'}]"
Servietter 10 stk,antibakterielle,5.0,,,,,,,,https://www.europris.no/p-servietter-10-stk-antibakterielle-207730,,,,personlig-pleie,"[{'rel': 'self', 'href': 'https://g98a3adf2c98659-weather.adb.eu-stockholm-1.oraclecloudapps.com/ords/admin/products_2024_05_03/AAAabtAAAAAAFc7AAJ'}]"
